ELECAUDITFINDINGSID,ELECAUDITSID,AUDITYEAR,DBKEY,REPORTID,VERSION,QCOSTS,OTHERFINDINGS,SIGNIFICANTDEFICIENCY,MATERIALWEAKNESS,OTHERNONCOMPLIANCE,TYPEREQUIREMENT,FINDINGREFNUMS,MODIFIEDOPINION,REPEATFINDING,PRIORFINDINGREFNUMS
2653237,32835417,2020,191862,876576,1,N,N,Y,N,N,L,2020-001,N,N,
2673829,33107924,2020,183173,876374,2,N,N,Y,N,Y,N,2020-002,N,Y,2019-003
2860490,34068918,2020,192173,895014,1,N,N,N,Y,N,EJ,2020-002,N,N,
2860491,34068920,2020,192173,895014,1,N,N,N,Y,N,EJ,2020-002,N,N,
2860489,34068917,2020,192173,895014,1,N,N,N,Y,N,EJ,2020-002,N,N,
2860492,34068921,2020,192173,895014,1,N,N,N,Y,N,EJ,2020-002,N,N,
2860493,34068926,2020,192173,895014,1,N,N,N,Y,N,AB,2020-004,N,N,
2860494,34068926,2020,192173,895014,1,N,N,N,Y,N,G,2020-005,Y,Y,2018-013
2860495,34068927,2020,192173,895014,1,N,N,N,Y,N,AB,2020-004,N,N,
2860496,34068927,2020,192173,895014,1,N,N,N,Y,N,G,2020-005,Y,Y,2018-013
2860497,34068928,2020,192173,895014,1,N,N,N,Y,N,AB,2020-004,N,N,
2860498,34068928,2020,192173,895014,1,N,N,N,Y,N,G,2020-005,Y,Y,2018-013
2860499,34068929,2020,192173,895014,1,N,N,N,Y,N,AB,2020-004,N,N,
2860500,34068929,2020,192173,895014,1,N,N,N,Y,N,G,2020-005,Y,Y,2018-013
2860501,34068930,2020,192173,895014,1,N,N,N,Y,N,EGL,2020-003,N,N,
2860502,34068931,2020,192173,895014,1,N,N,N,Y,N,EGL,2020-003,N,N,
2620071,32414435,2020,117467,862171,1,N,N,N,Y,N,L,2020-003,Y,Y,2019-003
2620073,32414436,2020,117467,862171,1,N,N,Y,N,Y,C,2020-002,N,Y,2019-002
2620074,32414436,2020,117467,862171,1,N,N,Y,N,Y,C,2020-002,N,Y,2019-002
2620077,32414450,2020,117467,862171,1,N,N,N,Y,N,E,2020-001,N,Y,2019-001
