ID,AUDITYEAR,DBKEY,EIN,EINSEQNUM,DUNS,DUNSEQNUM
1760632020100079607D,2020,176063,,,100079607,1
1760632020546001292E,2020,176063,546001292,1,,
1381852020003861338D,2020,138185,,,003861338,1
