ELECAUDITFINDINGSID,ELECAUDITSID,AUDITYEAR,DBKEY,REPORTID,VERSION,QCOSTS,OTHERFINDINGS,SIGNIFICANTDEFICIENCY,MATERIALWEAKNESS,OTHERNONCOMPLIANCE,TYPEREQUIREMENT,FINDINGREFNUMS,MODIFIEDOPINION,REPEATFINDING,PRIORFINDINGREFNUMS
1556748,27520142,2017,156594,735332,1,Y,N,N,Y,N,A,2017-002,Y,N,
1678918,28235774,2017,164680,752044,1,N,N,N,Y,N,N,2017-001,Y,N,
1678919,28235776,2017,164680,752044,1,N,N,N,Y,N,N,2017-001,Y,N,
1678917,28235756,2017,164680,752044,1,N,N,N,Y,N,N,2017-001,Y,N,
1637810,28028037,2017,231554,749187,1,N,Y,N,N,N,L,2017-001,N,N,
1637811,28028040,2017,231554,749187,1,N,Y,N,N,N,L,2017-001,N,N,
1637812,28028042,2017,231554,749187,1,N,Y,N,N,N,L,2017-001,N,N,
1637813,28028044,2017,231554,749187,1,N,Y,N,N,N,L,2017-001,N,N,
1966699,29242802,2017,209488,773856,1,N,N,N,Y,N,ABCL,2017-001,Y,N,
1966199,29234536,2017,212581,773663,1,N,N,N,Y,N,L,2017-002,N,N,
1966200,29234536,2017,212581,773663,1,N,N,N,Y,N,L,2017-003,N,N,
1966198,29234536,2017,212581,773663,1,N,N,Y,N,N,L,2017-001,N,Y,2016-001
1635440,27994246,2017,131356,748168,1,N,N,Y,N,N,P,2017-001,N,Y,2016-001
1635443,27994256,2017,131356,748168,1,N,N,Y,N,N,P,2017-001,N,Y,2016-001
1635441,27994247,2017,131356,748168,1,N,N,Y,N,N,P,2017-001,N,Y,2016-001
1635442,27994249,2017,131356,748168,1,N,N,Y,N,N,P,2017-001,N,Y,2016-001
1668075,28169891,2017,151814,751486,1,N,N,Y,N,N,BCM,2017-001,N,Y,2016-001
1668076,28169892,2017,151814,751486,1,N,N,Y,N,N,BCM,2017-001,N,Y,2016-001
1668077,28169893,2017,151814,751486,1,N,N,Y,N,N,BCM,2017-001,N,Y,2016-001
1667748,28159652,2017,171165,751242,1,N,N,N,Y,N,AN,2017-001,N,Y,2016-001
1667757,28159706,2017,171165,751242,1,N,N,N,Y,N,AN,2017-002,N,Y,2016-002
1667749,28159652,2017,171165,751242,1,N,N,N,Y,N,AN,2017-002,N,Y,2017-002
1667750,28159658,2017,171165,751242,1,N,N,N,Y,N,AN,2017-001,N,Y,2016-001
1667751,28159658,2017,171165,751242,1,N,N,N,Y,N,AN,2017-002,N,Y,2016-002
1667752,28159660,2017,171165,751242,1,N,N,N,Y,N,AN,2017-001,N,Y,2016-001
1667753,28159660,2017,171165,751242,1,N,N,N,Y,N,AN,2017-002,N,Y,2017-002
1667756,28159706,2017,171165,751242,1,N,N,N,Y,N,AN,2017-001,N,Y,2016-001
1667754,28159679,2017,171165,751242,1,N,N,N,Y,N,AN,2017-001,N,Y,2016-001
1667755,28159679,2017,171165,751242,1,N,N,N,Y,N,AN,2017-002,N,Y,2016-002
1598766,27861392,2017,179940,743517,1,N,N,N,Y,N,E,2017-003,Y,N,
1837003,28775725,2017,160471,759593,1,N,N,N,Y,N,N,2017-001,Y,N,
1837004,28775726,2017,160471,759593,1,N,N,N,Y,N,N,2017-001,Y,N,
1837005,28775727,2017,160471,759593,1,N,N,N,Y,N,N,2017-001,Y,N,
1639362,28079718,2017,240292,744285,1,N,N,Y,N,N,E,2017-001,Y,N,
1639365,28079737,2017,240292,744285,1,N,N,Y,N,N,E,2017-001,Y,N,
1780487,28559565,2017,225064,749057,2,N,N,Y,N,N,L,2017-002,N,N,
1780486,28559564,2017,225064,749057,2,N,N,Y,N,N,L,2017-002,N,N,
1780488,28559571,2017,225064,749057,2,N,N,Y,N,N,L,2017-002,N,N,
1638598,28038617,2017,70449,749326,1,N,N,N,Y,N,L,2017-001,N,N,
1638599,28038617,2017,70449,749326,1,N,N,N,Y,N,P,2017-002,N,N,
1796427,28596076,2017,81355,758575,1,Y,N,Y,N,Y,C,2017-003,N,Y,2016-005
1796428,28596076,2017,81355,758575,1,N,N,Y,N,Y,AL,2017-005,N,N,
1796429,28596076,2017,81355,758575,1,N,N,Y,N,Y,N,2017-007,N,Y,2016-011
1796430,28596076,2017,81355,758575,1,N,N,N,N,Y,N,2017-008,N,Y,"2016-003, 2016-007"
1796431,28596076,2017,81355,758575,1,N,N,Y,N,Y,N,2017-009,N,Y,2016-008
1796432,28596078,2017,81355,758575,1,Y,N,Y,N,Y,C,2017-003,N,Y,2016-005
1796433,28596078,2017,81355,758575,1,N,N,Y,N,Y,AL,2017-005,N,N,
1796412,28596073,2017,81355,758575,1,N,N,Y,N,Y,AL,2017-005,N,N,
1796413,28596073,2017,81355,758575,1,Y,N,N,N,Y,N,2017-006,N,Y,2016-009
1796414,28596073,2017,81355,758575,1,N,N,Y,N,Y,N,2017-007,N,Y,2016-011
1796415,28596073,2017,81355,758575,1,N,N,N,N,Y,N,2017-008,N,Y,"2016-003, 2016-007"
1796416,28596073,2017,81355,758575,1,N,N,Y,N,Y,N,2017-009,N,Y,2016-008
1796417,28596074,2017,81355,758575,1,N,N,Y,N,Y,I,2017-012,N,N,
1796418,28596074,2017,81355,758575,1,Y,N,N,N,Y,AB,2017-013,N,Y,2016-013
1796419,28596075,2017,81355,758575,1,Y,N,Y,N,Y,C,2017-003,N,Y,2016-005
1796420,28596075,2017,81355,758575,1,Y,N,N,N,Y,E,2017-004,N,N,
1796421,28596075,2017,81355,758575,1,N,N,Y,N,Y,AL,2017-005,N,N,
1796422,28596075,2017,81355,758575,1,N,N,Y,N,Y,N,2017-007,N,Y,2016-011
1796423,28596075,2017,81355,758575,1,N,N,N,N,Y,N,2017-008,N,Y,"2016-003, 2016-007"
1796424,28596075,2017,81355,758575,1,N,N,Y,N,Y,N,2017-009,N,Y,2016-008
1796425,28596075,2017,81355,758575,1,N,N,Y,N,Y,N,2017-010,N,Y,2016-004
1796426,28596075,2017,81355,758575,1,N,N,N,N,Y,N,2017-011,N,Y,2016-006
1796434,28596078,2017,81355,758575,1,N,N,Y,N,Y,N,2017-007,N,Y,2016-011
1796435,28596078,2017,81355,758575,1,N,N,N,N,Y,N,2017-008,N,Y,"2016-003, 2016-007"
1796436,28596078,2017,81355,758575,1,N,N,Y,N,Y,N,2017-009,N,Y,2016-008
1796437,28596078,2017,81355,758575,1,N,N,Y,N,Y,N,2017-010,N,Y,2016-004
1569394,27593960,2017,160890,735843,3,N,N,Y,N,N,L,2017-001,N,N,
1594341,27830067,2017,180880,742899,1,N,N,Y,N,Y,N,2017-001,N,N,
1594342,27830072,2017,180880,742899,1,N,N,Y,N,Y,N,2017-001,N,N,
1738152,28434048,2017,246933,756123,1,N,N,Y,N,N,P,2017-001,N,Y,2016-002
1966781,29243447,2017,71192,773892,1,N,N,Y,N,Y,N,2017-001,N,N,
1966782,29243447,2017,71192,773892,1,N,N,Y,N,Y,E,2017-003,N,N,
1569256,27593032,2017,150597,738022,1,N,N,N,N,Y,J,2017-004,N,Y,2016-002
1569255,27593031,2017,150597,738022,1,N,N,N,N,Y,J,2017-004,N,Y,2016-002
1569254,27593030,2017,150597,738022,1,N,N,N,N,Y,J,2017-004,N,Y,2016-002
1569253,27593029,2017,150597,738022,1,N,N,N,N,Y,J,2017-004,N,Y,2016-002
1569252,27593028,2017,150597,738022,1,N,N,N,N,Y,J,2017-004,N,Y,2016-002
1569251,27593027,2017,150597,738022,1,N,N,N,N,Y,J,2017-004,N,Y,2016-002
1569250,27593026,2017,150597,738022,1,N,N,N,N,Y,J,2017-004,N,Y,2016-002
1569249,27593025,2017,150597,738022,1,N,N,N,N,Y,J,2017-004,N,Y,2016-002
1569248,27593024,2017,150597,738022,1,N,N,N,N,Y,J,2017-004,N,Y,2016-002
1569247,27593023,2017,150597,738022,1,N,N,N,N,Y,J,2017-004,N,Y,2016-002
1731875,28389394,2017,216469,755765,1,N,N,N,N,Y,P,2017-001,N,N,
1970300,29255679,2017,237313,774686,1,N,N,N,Y,N,L,2017-002,Y,N,
1970299,29255676,2017,237313,774686,1,N,N,Y,N,Y,N,2017-005,N,Y,2016-004
1970301,29255679,2017,237313,774686,1,N,N,N,Y,N,A,2017-003,Y,Y,2016-002
1970346,29257223,2017,237313,774686,1,N,N,N,Y,N,A,2017-003,Y,Y,2016-002
1970342,29256799,2017,237313,774686,1,N,N,Y,N,Y,N,2017-005,N,Y,2016-004
1970347,29257223,2017,237313,774686,1,N,N,N,Y,N,N,2017-004,Y,N,
1970302,29255679,2017,237313,774686,1,N,N,N,Y,N,N,2017-004,Y,N,
1970345,29257223,2017,237313,774686,1,N,N,N,Y,N,L,2017-002,Y,N,
1546175,27451211,2017,83432,731664,1,Y,N,Y,N,N,N,2017-001,N,Y,2016-002
1546164,27451208,2017,83432,731664,1,N,N,Y,N,N,N,2017-002,N,Y,2016-001
1546166,27451208,2017,83432,731664,1,Y,N,N,N,Y,E,2017-004,N,N,
1546163,27451208,2017,83432,731664,1,Y,N,Y,N,N,N,2017-001,N,Y,2016-002
1546165,27451208,2017,83432,731664,1,N,N,N,N,Y,N,2017-003,N,N,
1546176,27451211,2017,83432,731664,1,Y,N,N,N,Y,E,2017-004,N,N,
