ELECAUDITFINDINGSID,ELECAUDITSID,AUDITYEAR,DBKEY,REPORTID,VERSION,QCOSTS,OTHERFINDINGS,SIGNIFICANTDEFICIENCY,MATERIALWEAKNESS,OTHERNONCOMPLIANCE,TYPEREQUIREMENT,FINDINGREFNUMS,MODIFIEDOPINION,REPEATFINDING,PRIORFINDINGREFNUMS
1376938,26809070,2016,74099,716443,1,N,N,N,N,Y,M,2016-001,N,N,
1537895,27415391,2016,163050,726436,2,N,N,N,Y,N,I,2016-002,Y,N,
1537894,27415390,2016,163050,726436,2,N,N,N,Y,N,I,2016-002,Y,N,
1052076,26060561,2016,190773,700385,1,N,N,Y,N,N,P,2016-001,N,Y,2015-001
1052075,26060560,2016,190773,700385,1,N,N,Y,N,N,P,2016-001,N,Y,2015-001
1052074,26060559,2016,190773,700385,1,N,N,Y,N,N,P,2016-001,N,Y,2015-001
1593832,27824988,2016,232568,742619,1,N,N,Y,N,Y,L,2016-001,N,N,
1593831,27824986,2016,232568,742619,1,N,N,Y,N,Y,L,2016-001,N,N,
1536926,27409618,2016,199975,728666,1,N,N,Y,N,Y,B,2016-005,N,Y,2015-007
1536925,27409618,2016,199975,728666,1,Y,N,N,Y,Y,N,2016-004,N,Y,2015-005
1536924,27409618,2016,199975,728666,1,N,N,N,Y,N,E,2016-003,N,Y,2015-003
1730364,28367866,2016,199314,755477,1,Y,N,N,Y,N,AB,2016-001,Y,Y,2015-001
1730365,28367866,2016,199314,755477,1,Y,N,N,Y,N,AB,2016-002,Y,Y,2015-002
1730366,28367866,2016,199314,755477,1,N,N,Y,N,Y,I,2016-003,N,Y,2015-003
1730367,28367866,2016,199314,755477,1,N,N,N,N,Y,L,2016-004,N,Y,2015-006
1730368,28367866,2016,199314,755477,1,N,N,N,N,Y,N,2016-005,N,Y,2015-007
1730369,28367867,2016,199314,755477,1,Y,N,N,Y,N,AB,2016-001,Y,Y,2015-001
1730370,28367867,2016,199314,755477,1,N,N,Y,N,Y,I,2016-003,N,Y,2015-003
