ID,AUDITYEAR,DBKEY,EIN,EINSEQNUM,DUNS,DUNSEQNUM
1761142016546001607E,2016,176114,546001607,,,
1761142016546001611E,2016,176114,546001611,,,
1743412016040325706D,2016,174341,,,040325706,
1714452016100073493D,2016,171445,,,100073493,
1714452016626000889E,2016,171445,626000889,,,
26262016957447782D,2016,2626,,,957447782,
1348552016025951935D,2016,134855,,,025951935,
1348552016071773779D,2016,134855,,,071773779,
1348552016169570835D,2016,134855,,,169570835,
1348552016944756972D,2016,134855,,,944756972,
2234722016752785871E,2016,223472,752785871,,,
1436622016102149606D,2016,143662,,,102149606,
2055362016066001655E,2016,205536,066001655,,,
33722016043103893E,2016,3372,043103893,,,
33722016043452410E,2016,3372,043452410,,,
33722016043663990E,2016,3372,043663990,,,
33722016223090216E,2016,3372,223090216,,,
33722016223221294E,2016,3372,223221294,,,
33722016261596148E,2016,3372,261596148,,,
