ELECAUDITFINDINGSID,ELECAUDITSID,AUDITYEAR,DBKEY,REPORTID,VERSION,QCOSTS,OTHERFINDINGS,SIGNIFICANTDEFICIENCY,MATERIALWEAKNESS,OTHERNONCOMPLIANCE,TYPEREQUIREMENT,FINDINGREFNUMS,MODIFIEDOPINION,REPEATFINDING,PRIORFINDINGREFNUMS
3137062,36297994,2022,148665,974778,1,N,N,Y,N,N,L,2022-001,N,N,
3104987,36131840,2022,198266,971740,1,N,N,N,Y,N,E,2022-001,Y,Y,2021-001
3104988,36131841,2022,198266,971740,1,N,N,N,Y,N,E,2022-001,Y,Y,2021-001
3078271,35666025,2022,196318,957046,1,N,N,N,N,Y,C,2022-001,N,N,
3210614,36722384,2022,251020,980951,1,N,N,Y,N,Y,L,2022-003,N,N,
3210615,36722384,2022,251020,980951,1,N,N,Y,N,Y,I,2022-004,N,N,
3210613,36722381,2022,251020,980951,1,N,N,Y,N,N,P,2022-002,N,Y,2021-003
3167938,36531983,2022,57575,978318,1,N,N,Y,N,N,L,2022-001,N,N,
3065515,35470498,2022,181526,948652,1,Y,N,N,Y,Y,B,2022-003,N,N,
3092139,35933961,2022,180878,965703,1,N,N,Y,N,N,P,2022-002,N,N,
3299029,36979197,2022,177310,982136,1,N,N,N,Y,Y,N,2022-001,N,N,
3299031,36979199,2022,177310,982136,1,N,N,N,Y,Y,N,2022-001,N,N,
3299033,36979201,2022,177310,982136,1,N,N,N,Y,Y,N,2022-001,N,N,
3299028,36979196,2022,177310,982136,1,N,N,N,Y,Y,N,2022-001,N,N,
3299030,36979198,2022,177310,982136,1,N,N,N,Y,Y,N,2022-001,N,N,
3299032,36979200,2022,177310,982136,1,N,N,N,Y,Y,N,2022-001,N,N,
3089303,35889405,2022,211108,964108,1,N,N,N,Y,N,L,2022-001,N,N,
3091748,35932374,2022,187027,965617,1,N,N,Y,N,N,I,2022-002,N,N,
3091749,35932375,2022,187027,965617,1,N,N,Y,N,N,I,2022-002,N,N,
3301746,37008398,2022,177250,985733,1,N,N,N,Y,Y,I,2022-001,N,Y,2021-001
