ELECAUDITFINDINGSID,ELECAUDITSID,AUDITYEAR,DBKEY,REPORTID,VERSION,QCOSTS,OTHERFINDINGS,SIGNIFICANTDEFICIENCY,MATERIALWEAKNESS,OTHERNONCOMPLIANCE,TYPEREQUIREMENT,FINDINGREFNUMS,MODIFIEDOPINION,REPEATFINDING,PRIORFINDINGREFNUMS
2338833,30852224,2019,91751,815192,2,N,N,N,N,Y,N,2019-001,N,Y,2018-001
2338834,30852226,2019,91751,815192,2,Y,N,N,N,Y,E,2019-002,N,N,
2338835,30852226,2019,91751,815192,2,N,N,N,N,Y,N,2019-001,N,Y,2018-001
2677633,33197001,2019,161649,882744,1,N,N,N,Y,Y,L,2019-003,N,N,
2297352,30528591,2019,109775,804029,1,N,N,Y,N,Y,N,2019-001,N,N,
2297353,30528592,2019,109775,804029,1,N,N,Y,N,Y,N,2019-001,N,N,
2297354,30528593,2019,109775,804029,1,N,N,Y,N,Y,N,2019-001,N,N,
2380810,30743566,2019,241171,812583,1,N,N,N,Y,N,G,2019-002,Y,N,
2380809,30743566,2019,241171,812583,1,N,N,N,Y,N,C,2019-001,Y,N,
2374197,31000977,2019,61656,819637,1,Y,N,Y,N,Y,N,2019-001,N,N,
2374198,31000977,2019,61656,819637,1,Y,N,Y,N,Y,E,2019-002,N,N,
2338763,30848171,2019,160172,815106,1,N,N,Y,N,N,B,2019-001,N,N,
2338759,30848163,2019,160172,815106,1,N,N,Y,N,N,B,2019-001,N,N,
2420470,31328006,2019,154044,827765,1,N,N,Y,N,Y,N,2019-002,N,N,
2420476,31328010,2019,154044,827765,1,N,N,Y,N,Y,N,2019-002,N,N,
2420474,31328008,2019,154044,827765,1,N,N,Y,N,Y,N,2019-002,N,N,
2420471,31328007,2019,154044,827765,1,N,N,Y,N,Y,N,2019-001,N,N,
2420469,31328006,2019,154044,827765,1,N,N,Y,N,Y,N,2019-001,N,N,
2420472,31328007,2019,154044,827765,1,N,N,Y,N,Y,N,2019-002,N,N,
2420473,31328008,2019,154044,827765,1,N,N,Y,N,Y,N,2019-001,N,N,
2420475,31328010,2019,154044,827765,1,N,N,Y,N,Y,N,2019-001,N,N,
2556976,31978336,2019,103008,833097,2,Y,Y,N,N,N,B,2019-001,N,N,
2556977,31978336,2019,103008,833097,2,Y,Y,N,N,N,I,2019-002,N,N,
2558197,31990162,2019,164686,839098,1,N,N,N,Y,N,C,2019-006,Y,N,
2558203,31990164,2019,164686,839098,1,N,N,N,Y,N,AB,2019-007,Y,N,
2558201,31990164,2019,164686,839098,1,N,N,N,Y,N,I,2019-005,Y,N,
2558205,31990166,2019,164686,839098,1,N,N,N,Y,Y,P,2019-004,N,Y,2018-008
2558207,31990166,2019,164686,839098,1,N,N,N,Y,N,C,2019-006,Y,N,
2558216,31990175,2019,164686,839098,1,N,N,N,Y,Y,P,2019-004,N,Y,2018-008
2558220,31990181,2019,164686,839098,1,N,N,N,Y,Y,P,2019-004,N,Y,2018-008
2558224,31990231,2019,164686,839098,1,N,N,N,Y,Y,P,2019-004,N,Y,2018-008
2558198,31990162,2019,164686,839098,1,N,N,N,Y,N,AB,2019-007,Y,N,
2558206,31990166,2019,164686,839098,1,N,N,N,Y,N,I,2019-005,Y,N,
2558200,31990164,2019,164686,839098,1,N,N,N,Y,Y,P,2019-004,N,Y,2018-008
2558194,31990162,2019,164686,839098,1,N,N,N,Y,N,E,2019-003,Y,N,
2558209,31990168,2019,164686,839098,1,N,N,N,Y,N,L,2019-002,Y,N,
2558196,31990162,2019,164686,839098,1,N,N,N,Y,N,I,2019-005,Y,N,
2558210,31990168,2019,164686,839098,1,N,N,N,Y,Y,P,2019-004,N,Y,2018-008
2558212,31990170,2019,164686,839098,1,N,N,N,Y,Y,P,2019-004,N,Y,2018-008
2558202,31990164,2019,164686,839098,1,N,N,N,Y,N,C,2019-006,Y,N,
2558199,31990164,2019,164686,839098,1,N,N,N,Y,N,E,2019-003,Y,N,
2558195,31990162,2019,164686,839098,1,N,N,N,Y,Y,P,2019-004,N,Y,2018-008
2558204,31990166,2019,164686,839098,1,N,N,N,Y,N,E,2019-003,Y,N,
2558208,31990166,2019,164686,839098,1,N,N,N,Y,N,AB,2019-007,Y,N,
2558213,31990172,2019,164686,839098,1,N,N,N,Y,Y,P,2019-004,N,Y,2018-008
2558219,31990179,2019,164686,839098,1,N,N,N,Y,Y,P,2019-004,N,Y,2018-008
2565807,32018282,2019,171646,840143,1,N,N,Y,N,N,L,2019-005,N,Y,2018-007
2565810,32018285,2019,171646,840143,1,N,N,Y,N,N,L,2019-005,N,Y,2018-007
2564313,32018289,2019,171646,840143,1,N,N,N,Y,N,L,2019-001,N,Y,2018-001
2565814,32018287,2019,171646,840143,1,N,N,Y,N,N,L,2019-005,N,Y,2018-007
2564293,32018279,2019,171646,840143,1,N,N,N,Y,N,L,2019-001,N,Y,2018-001
2564297,32018281,2019,171646,840143,1,N,N,N,Y,N,L,2019-001,N,Y,2018-001
2564301,32018283,2019,171646,840143,1,N,N,N,Y,N,L,2019-001,N,Y,2018-001
2564305,32018285,2019,171646,840143,1,N,N,N,Y,N,L,2019-001,N,Y,2018-001
2564309,32018287,2019,171646,840143,1,N,N,N,Y,N,L,2019-001,N,Y,2018-001
2565808,32018283,2019,171646,840143,1,N,N,Y,N,N,L,2019-005,N,Y,2018-007
2564315,32018290,2019,171646,840143,1,N,N,N,Y,N,L,2019-001,N,Y,2018-001
2565825,32018290,2019,171646,840143,1,N,N,Y,N,N,L,2019-005,N,Y,2018-007
2564291,32018278,2019,171646,840143,1,N,N,N,Y,N,L,2019-001,N,Y,2018-001
2564295,32018280,2019,171646,840143,1,N,N,N,Y,N,L,2019-001,N,Y,2018-001
2564299,32018282,2019,171646,840143,1,N,N,N,Y,N,L,2019-001,N,Y,2018-001
2564303,32018284,2019,171646,840143,1,N,N,N,Y,N,L,2019-001,N,Y,2018-001
2564307,32018286,2019,171646,840143,1,N,N,N,Y,N,L,2019-001,N,Y,2018-001
2564311,32018288,2019,171646,840143,1,N,N,N,Y,N,L,2019-001,N,N,
2565806,32018281,2019,171646,840143,1,N,N,Y,N,N,L,2019-005,N,Y,2018-007
2564320,32018293,2019,171646,840143,1,N,N,N,Y,N,L,2019-001,N,N,
2565805,32018280,2019,171646,840143,1,N,N,Y,N,N,L,2019-005,N,Y,2018-007
2565815,32018288,2019,171646,840143,1,N,N,Y,N,N,L,2019-005,N,N,
2565816,32018289,2019,171646,840143,1,N,N,Y,N,N,L,2019-005,N,Y,2018-007
2565811,32018286,2019,171646,840143,1,N,N,Y,N,N,L,2019-005,N,Y,2018-007
2565826,32018291,2019,171646,840143,1,N,N,Y,N,N,L,2019-005,N,N,
2565827,32018292,2019,171646,840143,1,N,N,Y,N,N,L,2019-005,N,N,
2565828,32018293,2019,171646,840143,1,N,N,Y,N,N,L,2019-005,N,N,
2564317,32018291,2019,171646,840143,1,N,N,N,Y,N,L,2019-001,N,N,
2564319,32018292,2019,171646,840143,1,N,N,N,Y,N,L,2019-001,N,N,
2564871,32018279,2019,171646,840143,1,N,N,Y,N,N,L,2019-005,N,Y,2018-007
2564870,32018278,2019,171646,840143,1,N,N,Y,N,N,L,2019-005,N,Y,2018-007
2565809,32018284,2019,171646,840143,1,N,N,Y,N,N,L,2019-005,N,Y,2018-007
2585891,32136500,2019,203669,830778,1,N,N,N,Y,N,I,2019-001,N,N,
2585892,32136500,2019,203669,830778,1,N,N,N,Y,N,I,2019-002,N,N,
2596889,32209150,2019,237641,842398,1,N,N,N,Y,N,P,2019-005,N,N,
2676818,33183295,2019,239411,858344,2,N,Y,N,N,N,L,2019-001,N,Y,2018-001
2676819,33183298,2019,239411,858344,2,N,Y,N,N,N,L,2019-001,N,Y,2018-001
2445247,31527885,2019,156552,816734,1,N,N,Y,N,Y,N,2019-001,N,Y,2018-001
2445249,31527886,2019,156552,816734,1,N,N,Y,N,Y,N,2019-001,N,Y,2018-001
2445254,31527890,2019,156552,816734,1,N,N,Y,N,Y,B,2019-004,N,N,
2445248,31527885,2019,156552,816734,1,N,N,Y,N,Y,N,2019-003,N,N,
2445250,31527886,2019,156552,816734,1,N,N,Y,N,Y,E,2019-002,N,Y,2018-002
2445251,31527886,2019,156552,816734,1,N,N,Y,N,Y,N,2019-003,N,N,
2445252,31527887,2019,156552,816734,1,N,N,Y,N,Y,N,2019-001,N,Y,2018-001
2445253,31527889,2019,156552,816734,1,N,N,Y,N,Y,B,2019-004,N,N,
2445255,31527891,2019,156552,816734,1,N,N,Y,N,Y,B,2019-004,N,N,
2445256,31527892,2019,156552,816734,1,N,N,Y,N,Y,B,2019-004,N,N,
2540714,31968411,2019,238438,838230,1,N,N,Y,N,N,L,2019-001,Y,N,
2543264,31972126,2019,238438,838230,1,N,N,Y,N,N,L,2019-001,Y,N,
2607912,32288259,2019,57041,851093,2,N,N,N,Y,N,P,2019-004,N,Y,2018-002
2607913,32288259,2019,57041,851093,2,N,N,N,Y,Y,C,2019-005,N,Y,2018-004
2607914,32288259,2019,57041,851093,2,N,N,Y,N,Y,N,2019-006,N,Y,"2018-002,2018-006"
2607915,32288259,2019,57041,851093,2,N,N,Y,N,Y,L,2019-007,N,N,
2607916,32288259,2019,57041,851093,2,N,N,Y,N,Y,L,2019-008,N,N,
2607917,32288260,2019,57041,851093,2,N,N,N,Y,N,P,2019-004,N,Y,2018-002
2607918,32288261,2019,57041,851093,2,N,N,N,Y,N,P,2019-004,N,Y,2018-002
