ID,AUDITYEAR,DBKEY,EIN,EINSEQNUM,DUNS,DUNSEQNUM
1616492019091564419D,2019,161649,,,091564419,2
1616492019140240545D,2019,161649,,,140240545,1
1713972019626000661E,2019,171397,626000661,,,
1713972019626000664E,2019,171397,626000664,,,
1713762019626000546E,2019,171376,626000546,,,
1713762019626000547E,2019,171376,626000547,,,
2469542019038464546D,2019,246954,,,038464546,
2469542019966744666D,2019,246954,,,966744666,
1863202019003072290D,2019,186320,,,003072290,10
1863202019003072480D,2019,186320,,,003072480,5
1863202019038798489D,2019,186320,,,038798489,6
1863202019087615451D,2019,186320,,,087615451,9
1863202019087839739D,2019,186320,,,087839739,8
1863202019102546269D,2019,186320,,,102546269,10
1863202019102546293D,2019,186320,,,102546293,1
1863202019105621168D,2019,186320,,,105621168,3
1863202019134902253D,2019,186320,,,134902253,7
1863202019166255794D,2019,186320,,,166255794,10
1863202019168755742D,2019,186320,,,168755742,2
1863202019187640045D,2019,186320,,,187640045,4
919942019111444571D,2019,91994,,,111444571,
506652019363539115D,2019,50665,,,363539115,
506652019363944647E,2019,50665,363944647,,,
506652019364236976E,2019,50665,364236976,,,
2283212019461477471E,2019,228321,461477471,,,
2283212019726000640E,2019,228321,726000640,,,
2283212019861364669D,2019,228321,,,861364669,
1344372019020020533D,2019,134437,,,020020533,
1938582019098631021D,2019,193858,,,098631021,1
1938582019412053849E,2019,193858,412053849,1,,
1938582019556206266D,2019,193858,,,556206266,2
2456452019036677553D,2019,245645,,,036677553,
2456452019272990527E,2019,245645,272990527,,,
