ID,AUDITYEAR,DBKEY,EIN,EINSEQNUM,DUNS,DUNSEQNUM
890622018011818744D,2018,89062,,,011818744,
890622018081152173D,2018,89062,,,081152173,
890622018109563204D,2018,89062,,,109563204,
1584182018009312391D,2018,158418,,,009312391,
1584182018070270513D,2018,158418,,,070270513,
1584182018070957881D,2018,158418,,,070957881,
1584182018117477302D,2018,158418,,,117477302,
1584182018136608356E,2018,158418,136608356,,,
1584182018557044856D,2018,158418,,,557044856,
1584182018830300278D,2018,158418,,,830300278,
2420452018964192152D,2018,242045,,,964192152,
2420452018967451381D,2018,242045,,,967451381,
2420452018967451589D,2018,242045,,,967451589,
2420452018967487617D,2018,242045,,,967487617,
1760442018159576107D,2018,176044,,,159576107,
1760442018546001175E,2018,176044,546001175,,,
1760442018546001178E,2018,176044,546001178,,,
1760442018958597338D,2018,176044,,,958597338,
2460782018823088737E,2018,246078,823088737,,,
2482912018053267167D,2018,248291,,,053267167,
2482912018074629460D,2018,248291,,,074629460,
2482912018880148782E,2018,248291,880148782,,,
1466322018113676409E,2018,146632,113676409,1,,
1466322018204275997E,2018,146632,204275997,2,,
1466322018204276153E,2018,146632,204276153,3,,
1466322018208104376E,2018,146632,208104376,4,,
1466322018272822982E,2018,146632,272822982,5,,
1466322018272961167E,2018,146632,272961167,6,,
1466322018272991664E,2018,146632,272991664,7,,
1466322018300636591E,2018,146632,300636591,8,,
1466322018364841195E,2018,146632,364841195,9,,
1466322018611618517E,2018,146632,611618517,10,,
1466322018720650883E,2018,146632,720650883,11,,
1466322018720702000E,2018,146632,720702000,12,,
1466322018720702001E,2018,146632,720702001,13,,
1466322018720702002E,2018,146632,720702002,14,,
1466322018720724657E,2018,146632,720724657,15,,
1466322018720772772E,2018,146632,720772772,16,,
1466322018720805459E,2018,146632,720805459,17,,
1466322018720807104E,2018,146632,720807104,18,,
1466322018720817127E,2018,146632,720817127,19,,
1466322018720827361E,2018,146632,720827361,20,,
1466322018720830237E,2018,146632,720830237,21,,
1466322018720866125E,2018,146632,720866125,22,,
1466322018720866236E,2018,146632,720866236,23,,
1466322018720999270E,2018,146632,720999270,24,,
1466322018721215360E,2018,146632,721215360,25,,
1466322018721217833E,2018,146632,721217833,26,,
1466322018721333380E,2018,146632,721333380,27,,
1466322018721334786E,2018,146632,721334786,28,,
1466322018721380259E,2018,146632,721380259,29,,
1466322018721424618E,2018,146632,721424618,30,,
1466322018721425264E,2018,146632,721425264,31,,
1466322018721441777E,2018,146632,721441777,32,,
1466322018721506851E,2018,146632,721506851,33,,
1466322018726000722E,2018,146632,726000722,34,,
1466322018726000736E,2018,146632,726000736,35,,
1466322018726000745E,2018,146632,726000745,36,,
1466322018726000747E,2018,146632,726000747,37,,
1466322018726000748E,2018,146632,726000748,38,,
1466322018726000751E,2018,146632,726000751,39,,
1466322018726000755E,2018,146632,726000755,40,,
1466322018726000774E,2018,146632,726000774,41,,
1466322018726000783E,2018,146632,726000783,42,,
1466322018726000792E,2018,146632,726000792,43,,
1466322018726000800E,2018,146632,726000800,44,,
1466322018726000816E,2018,146632,726000816,45,,
1466322018726000817E,2018,146632,726000817,46,,
1466322018726000820E,2018,146632,726000820,47,,
1466322018726000821E,2018,146632,726000821,48,,
1466322018726000838E,2018,146632,726000838,49,,
1466322018726000840E,2018,146632,726000840,50,,
1466322018726000846E,2018,146632,726000846,51,,
1466322018726000848E,2018,146632,726000848,52,,
1466322018726001688E,2018,146632,726001688,53,,
1466322018726001695E,2018,146632,726001695,54,,
1466322018726002013E,2018,146632,726002013,55,,
1466322018726011595E,2018,146632,726011595,56,,
1466322018726011665E,2018,146632,726011665,57,,
1466322018726011797E,2018,146632,726011797,58,,
1466322018726012995E,2018,146632,726012995,59,,
1466322018726087770E,2018,146632,726087770,60,,
1466322018841671064E,2018,146632,841671064,61,,
1466322018841702974E,2018,146632,841702974,62,,
74782018061527685E,2018,7478,061527685,,,
166032018054944719D,2018,16603,,,054944719,
166032018055411552D,2018,16603,,,055411552,
166032018134054564E,2018,16603,134054564,,,
166032018208873951E,2018,16603,208873951,,,
166032018261438196E,2018,16603,261438196,,,
166032018261438757E,2018,16603,261438757,,,
166032018274062272E,2018,16603,274062272,,,
166032018274062370E,2018,16603,274062370,,,
166032018320356964E,2018,16603,320356964,,,
166032018352425255E,2018,16603,352425255,,,
166032018371651790E,2018,16603,371651790,,,
166032018611663479E,2018,16603,611663479,,,
166032018813640078E,2018,16603,813640078,,,
166032018969574271D,2018,16603,,,969574271,
336952018222816550E,2018,33695,222816550,,,
2444112018273026151E,2018,244411,273026151,,,
2444112018741161944E,2018,244411,741161944,,,
2444112018741166904E,2018,244411,741166904,,,
2444112018751921898E,2018,244411,751921898,,,
