ELECAUDITFINDINGSID,ELECAUDITSID,AUDITYEAR,DBKEY,REPORTID,VERSION,QCOSTS,OTHERFINDINGS,SIGNIFICANTDEFICIENCY,MATERIALWEAKNESS,OTHERNONCOMPLIANCE,TYPEREQUIREMENT,FINDINGREFNUMS,MODIFIEDOPINION,REPEATFINDING,PRIORFINDINGREFNUMS
2334186,30769564,2018,158418,811252,1,N,N,Y,N,N,N,2018-001,N,N,
2015309,29628415,2018,224344,788565,1,N,N,Y,N,Y,L,2018-003,N,N,
2015308,29628415,2018,224344,788565,1,Y,N,Y,N,Y,C,2018-002,N,N,
2201017,30331844,2018,230096,799030,1,N,N,N,Y,N,E,2018-001,N,N,
2201018,30331845,2018,230096,799030,1,N,N,N,Y,N,E,2018-001,N,N,
2018976,29667237,2018,15452,785227,1,N,N,Y,N,N,NLP,2018-001,Y,N,
2097734,30030711,2018,3227,795556,1,N,N,Y,N,Y,CP,2018-001,N,N,
2097735,30030712,2018,3227,795556,1,N,N,Y,N,Y,CP,2018-001,N,N,
2097736,30030713,2018,3227,795556,1,N,N,Y,N,Y,CP,2018-001,N,N,
2097737,30030810,2018,3227,795556,1,N,N,Y,N,Y,CP,2018-001,N,N,
2097738,30030811,2018,3227,795556,1,N,N,Y,N,Y,CP,2018-001,N,N,
2040868,29898721,2018,75793,793910,1,N,N,Y,N,Y,L,2018-003,N,N,
2040869,29898721,2018,75793,793910,1,N,N,Y,N,N,AB,2018-004,N,N,
1998358,29531229,2018,201349,783184,1,N,N,N,Y,N,L,2018-005,N,N,
1998359,29531232,2018,201349,783184,1,N,N,N,Y,N,L,2018-004,N,N,
1998360,29531232,2018,201349,783184,1,N,N,N,Y,N,L,2018-005,N,N,
1998372,29531224,2018,201349,783184,1,N,N,N,Y,N,L,2018-004,N,N,
1998357,29531229,2018,201349,783184,1,N,N,N,Y,N,L,2018-004,N,N,
1998355,29531224,2018,201349,783184,1,N,N,N,Y,N,L,2018-005,N,N,
2003798,29544023,2018,242235,785557,1,N,N,N,N,Y,C,2018-001,N,N,
2180757,30244070,2018,245752,797418,1,N,N,N,Y,N,I,2018-001,N,N,
2180750,30244067,2018,245752,797418,1,N,N,N,Y,N,I,2018-001,N,N,
2180751,30244067,2018,245752,797418,1,N,N,N,Y,N,N,2018-002,N,N,
2180755,30244069,2018,245752,797418,1,N,N,N,Y,N,I,2018-001,N,N,
2180756,30244069,2018,245752,797418,1,N,N,N,Y,N,N,2018-002,N,N,
2180758,30244070,2018,245752,797418,1,N,N,N,Y,N,N,2018-002,N,N,
2338499,30828344,2018,83745,814848,2,N,N,N,Y,N,L,2018-001,Y,N,
2338500,30828344,2018,83745,814848,2,N,N,N,Y,N,BL,2018-002,Y,N,
2338501,30828344,2018,83745,814848,2,N,N,N,Y,N,BL,2018-003,Y,N,
2338502,30828344,2018,83745,814848,2,N,N,N,Y,N,BL,2018-004,Y,N,
2338503,30828344,2018,83745,814848,2,N,N,N,N,Y,L,2018-012,N,N,
2338504,30828397,2018,83745,814848,2,N,N,N,Y,N,L,2018-005,Y,N,
2338505,30828397,2018,83745,814848,2,N,N,N,Y,N,BL,2018-006,Y,N,
2338506,30828397,2018,83745,814848,2,N,N,N,Y,N,BL,2018-007,Y,N,
2338507,30828397,2018,83745,814848,2,N,N,N,Y,N,BL,2018-008,Y,N,
2338508,30828397,2018,83745,814848,2,Y,N,N,N,Y,B,2018-009,N,N,
2338509,30828397,2018,83745,814848,2,N,N,N,N,Y,L,2018-010,N,N,
2338510,30828397,2018,83745,814848,2,N,N,N,N,Y,G,2018-011,N,N,
2034980,29840697,2018,156962,787426,2,N,N,N,N,Y,A,2018-001,N,N,
2034981,29840703,2018,156962,787426,2,N,N,N,N,Y,F,2018-002,N,N,
2300093,30566147,2018,248400,804698,1,N,N,N,Y,N,I,2018-003,N,N,
2196615,30317942,2018,160758,798444,1,N,N,N,N,Y,B,2018-001,N,N,
2196616,30317942,2018,160758,798444,1,N,N,N,N,Y,L,2018-002,N,N,
2291872,30504152,2018,169458,803512,1,N,N,N,Y,N,L,2018-003,N,N,
2291874,30504154,2018,169458,803512,1,N,N,N,Y,N,L,2018-003,N,N,
2291875,30504155,2018,169458,803512,1,N,N,N,Y,N,L,2018-003,N,N,
2291878,30504156,2018,169458,803512,1,N,N,N,N,Y,BL,2018-005,N,N,
2291873,30504153,2018,169458,803512,1,N,N,N,Y,N,L,2018-003,N,N,
2291876,30504156,2018,169458,803512,1,N,N,N,Y,N,L,2018-003,N,N,
2291877,30504156,2018,169458,803512,1,N,N,N,N,Y,L,2018-004,N,N,
2316111,30619577,2018,177015,800990,1,N,N,N,Y,Y,I,2018-001,N,N,
1995441,29515468,2018,187382,784302,1,N,N,Y,N,N,I,2018-002,N,N,
2315808,30616552,2018,8177,806433,1,N,N,Y,N,Y,I,2018-001,N,N,
